id,provider,country,region,bbox,url
1322,"train replacement bus operators, Sydney Trains, NSW Trains, Busways Western Sydney, Interline Bus Services, Transit Systems, Hillsbus, Punchbowl Bus Company, State Transit, Transdev NSW, Dions Bus Service, Forest Coach Lines, Cronulla Ferries, Brooklyn Ferry Service, Central Coast Ferries, Manly Fast Ferry, Church Point Ferry Service, Captain Cook Cruises, Palm Beach Ferry Service, Busabout, Rover Coaches, Hunter Valley Buses, Port Stephens Coaches, Northern Rivers Buslines, Tamworth Buslines, Surfside Buslines, Premier Motor Service, Quinns Coaches, Dunoon Bus Service, Waller's Bus Company, Murwillumbah Bus Company, Parsons Bus Service, Gosel's Bus Service, Bhangla Singh's Bus Service, Blanch's Bus Company, Ballina Buslines, Watson's Bus Service, Casino Bus Service, Forest Coach Lines, Lawrence Bus Service, Forest Coach Lines, Michael Jillett, Reynolds & Fogarty, Forest Coach Lines, Inverell Bus Service, Symes Coaches, Edwards Coaches, Hannafords Bus Service, Hopes Bus Service, Millerds Bus Service, Cavanaghs Bus Company, Busways Port Macquarie, Tinonee Bus Company, Eggins Comfort Coaches, Busways Great Lakes, Forster Buslines, Osborn Bus Service, Ogden's Coaches, Wingham Buslines, Brunswick Valley Coaches, Clarence River Ferries, Busways Central Coast, Red Bus Service, Blue Mountains Transit, Premier Charters, Premier Illawarra, Hunter Valley Buses, Busways Coffs Harbour, Busways Grafton, Newcastle Transport, Port Stephens Coaches, NSW TrainLink Train, Intercity Train, NSW TrainLink Coach, Sydney Light Rail, Berrima Buslines, Bathurst Buslines, Lithgow Buslines, Kennedys Bus Service, Kiama Coachlines, Nowra Coaches, Shoal Bus, Stuarts Coaches, Dubbo Buslines, Orange Buslines, Newman's Bus Service, Western Road Liners, Forbes Buslines, Buslink Broken Hill, Cowra Bus Service, Griffith Buslines, PBC Goulburn, PBC Crookwell, Picton Buslines, Premier Motor Service, Buslink Sunraysia, Busabout Wagga, Junee Buses, Allen's Coaches, Qcity Transit, Transborder Express, Murrays Coaches, Purtills, Newtons Bus Service, Ulladulla Buslines, Priors Bus Service, Symons Bus & Coach Service, Cooma Coaches, Martins Albury, Dysons, Cann's Buslines, Sapphire Coast Buslines, Bega Valley Coaches, Sapphire Coast Buslines, Sydney Ferries, Station Link, Forest Coach Lines, Hillsbus, Punchbowl Bus Company, Transdev NSW",AU,New South Wales,"{'minimum_latitude': -37.8176444720042, 'maximum_latitude': -27.4655498069599, 'minimum_longitude': 141.435090952048, 'maximum_longitude': 153.619511714123, 'extracted_on': '2022-04-04T18:49:47+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-new-south-wales-train-replacement-bus-operators-gtfs-1322.zip?alt=media
680,"Department of Transport, Public Transport",AU,Northern Territory,"{'minimum_latitude': -12.673611, 'maximum_latitude': -12.35262, 'minimum_longitude': 130.82082, 'maximum_longitude': 131.131822, 'extracted_on': '2022-03-16T22:01:23+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-northern-territory-department-of-transport-gtfs-680.zip?alt=media
683,Department of Transport - Public Transport,AU,Northern Territory,"{'minimum_latitude': -23.777408, 'maximum_latitude': -23.668637, 'minimum_longitude': 133.826057, 'maximum_longitude': 133.903218, 'extracted_on': '2022-03-16T22:01:42+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-northern-territory-department-of-transport-public-transport-gtfs-683.zip?alt=media
1167,Bowen,AU,Queensland,"{'minimum_latitude': -20.018563, 'maximum_latitude': -19.970855, 'minimum_longitude': 148.225334, 'maximum_longitude': 148.265266, 'extracted_on': '2022-03-23T18:39:16+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-bowen-gtfs-1167.zip?alt=media
675,Bowen Transit,AU,Queensland,"{'minimum_latitude': -20.018563, 'maximum_latitude': -19.970855, 'minimum_longitude': 148.225334, 'maximum_longitude': 148.265372, 'extracted_on': '2022-03-16T22:00:55+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-bowen-transit-gtfs-675.zip?alt=media
653,Bus Queensland Toowoomba (Bus Qld Toowoomba),AU,Queensland,"{'minimum_latitude': -27.611151, 'maximum_latitude': -27.258647, 'minimum_longitude': 151.869525, 'maximum_longitude': 152.06874, 'extracted_on': '2022-03-16T21:18:44+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-bus-queensland-toowoomba-bus-qld-toowoomba-gtfs-653.zip?alt=media
667,Buslink Gladstone,AU,Queensland,"{'minimum_latitude': -23.960521, 'maximum_latitude': -23.838753, 'minimum_longitude': 151.21067, 'maximum_longitude': 151.370321, 'extracted_on': '2022-03-16T22:00:20+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-buslink-gladstone-gtfs-667.zip?alt=media
669,Christensens Bus and Coach,AU,Queensland,"{'minimum_latitude': -27.103209, 'maximum_latitude': -26.923223, 'minimum_longitude': 152.564827, 'maximum_longitude': 152.963944, 'extracted_on': '2022-03-16T22:00:39+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-christensens-bus-and-coach-gtfs-669.zip?alt=media
672,Duffy's Buses and Stewarts & Sons Coaches,AU,Queensland,"{'minimum_latitude': -24.921379, 'maximum_latitude': -24.695965, 'minimum_longitude': 152.239464, 'maximum_longitude': 152.492233, 'extracted_on': '2022-03-16T22:00:48+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-duffys-buses-and-stewarts-sons-coaches-gtfs-672.zip?alt=media
1168,Gladstone,AU,Queensland,"{'minimum_latitude': -23.960521, 'maximum_latitude': -23.838753, 'minimum_longitude': 151.21067, 'maximum_longitude': 151.370321, 'extracted_on': '2022-03-23T18:39:19+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-gladstone-gtfs-1168.zip?alt=media
670,Glass House Country Coaches,AU,Queensland,"{'minimum_latitude': -26.808098, 'maximum_latitude': -26.61763, 'minimum_longitude': 152.850518, 'maximum_longitude': 152.966173, 'extracted_on': '2022-03-16T22:00:42+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-glass-house-country-coaches-gtfs-670.zip?alt=media
654,Haidleys Panoramic Coaches,AU,Queensland,"{'minimum_latitude': -28.238421, 'maximum_latitude': -28.194167, 'minimum_longitude': 151.985483, 'maximum_longitude': 152.044586, 'extracted_on': '2022-03-16T21:18:48+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-haidleys-panoramic-coaches-gtfs-654.zip?alt=media
1163,Innisfail,AU,Queensland,"{'minimum_latitude': -17.543952, 'maximum_latitude': -17.490769, 'minimum_longitude': 145.988544, 'maximum_longitude': 146.076147, 'extracted_on': '2022-03-23T18:38:59+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-innisfail-gtfs-1163.zip?alt=media
678,Mackay Transit Coaches,AU,Queensland,"{'minimum_latitude': -21.422896, 'maximum_latitude': -21.002182, 'minimum_longitude': 148.863599, 'maximum_longitude': 149.226987, 'extracted_on': '2022-03-16T22:01:06+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-mackay-transit-coaches-gtfs-678.zip?alt=media
1164,Maleny / Landsborough,AU,Queensland,"{'minimum_latitude': -26.862165, 'maximum_latitude': -26.61763, 'minimum_longitude': 152.850518, 'maximum_longitude': 152.966059, 'extracted_on': '2022-03-23T18:39:02+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-maleny-landsborough-gtfs-1164.zip?alt=media
652,North Stradbroke Island Buses,AU,Queensland,"{'minimum_latitude': -27.50324, 'maximum_latitude': -27.394988, 'minimum_longitude': 153.40117, 'maximum_longitude': 153.543723, 'extracted_on': '2022-03-16T21:18:40+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-north-stradbroke-island-buses-gtfs-652.zip?alt=media
671,Polleys Coaches,AU,Queensland,"{'minimum_latitude': -26.223348, 'maximum_latitude': -25.901583, 'minimum_longitude': 152.639085, 'maximum_longitude': 153.091887, 'extracted_on': '2022-03-16T22:00:45+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-polleys-coaches-gtfs-671.zip?alt=media
907,Sunbus Rockhampton,AU,Queensland,"{'minimum_latitude': -23.407899, 'maximum_latitude': -23.29363, 'minimum_longitude': 150.484343, 'maximum_longitude': 150.566926, 'extracted_on': '2022-03-17T18:13:44+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-sunbus-rockhampton-gtfs-907.zip?alt=media
677,Sunbus Townsville,AU,Queensland,"{'minimum_latitude': -19.393504, 'maximum_latitude': -19.189667, 'minimum_longitude': 146.646356, 'maximum_longitude': 146.850212, 'extracted_on': '2022-03-16T22:01:02+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-sunbus-townsville-gtfs-677.zip?alt=media
1165,Toowoomba,AU,Queensland,"{'minimum_latitude': -27.611151, 'maximum_latitude': -27.258647, 'minimum_longitude': 151.869525, 'maximum_longitude': 152.06874, 'extracted_on': '2022-03-23T18:39:06+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-toowoomba-gtfs-1165.zip?alt=media
1166,Townsville,AU,Queensland,"{'minimum_latitude': -19.393504, 'maximum_latitude': -19.189667, 'minimum_longitude': 146.646356, 'maximum_longitude': 146.850212, 'extracted_on': '2022-03-23T18:39:12+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-townsville-gtfs-1166.zip?alt=media
673,Trans North Innisfail,AU,Queensland,"{'minimum_latitude': -17.543952, 'maximum_latitude': -16.819678, 'minimum_longitude': 145.424125, 'maximum_longitude': 146.076331, 'extracted_on': '2022-03-16T22:00:50+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-trans-north-innisfail-gtfs-673.zip?alt=media
1214,TransLink Brisbane,AU,Queensland,"{'minimum_latitude': -20.406011, 'maximum_latitude': -20.264272, 'minimum_longitude': 148.57356, 'maximum_longitude': 148.785562, 'extracted_on': '2022-03-23T23:05:13+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-brisbane-gtfs-1214.zip?alt=media
1215,TransLink Brisbane,AU,Queensland,"{'minimum_latitude': -24.92194, 'maximum_latitude': -24.695965, 'minimum_longitude': 152.239464, 'maximum_longitude': 152.492233, 'extracted_on': '2022-03-23T23:05:15+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-brisbane-gtfs-1215.zip?alt=media
1216,TransLink Brisbane,AU,Queensland,"{'minimum_latitude': -26.223348, 'maximum_latitude': -25.901583, 'minimum_longitude': 152.639085, 'maximum_longitude': 153.091887, 'extracted_on': '2022-03-23T23:05:18+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-brisbane-gtfs-1216.zip?alt=media
1217,TransLink Brisbane,AU,Queensland,"{'minimum_latitude': -27.1031, 'maximum_latitude': -26.923223, 'minimum_longitude': 152.564827, 'maximum_longitude': 152.962316, 'extracted_on': '2022-03-23T23:05:20+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-brisbane-gtfs-1217.zip?alt=media
1218,TransLink Brisbane,AU,Queensland,"{'minimum_latitude': -23.638604, 'maximum_latitude': -23.099315, 'minimum_longitude': 150.387628, 'maximum_longitude': 150.826186, 'extracted_on': '2022-03-23T23:05:26+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-brisbane-gtfs-1218.zip?alt=media
679,Translink Magnetic Island Ferry,AU,Queensland,"{'minimum_latitude': -19.25514, 'maximum_latitude': -19.158991, 'minimum_longitude': 146.825978, 'maximum_longitude': 146.855407, 'extracted_on': '2022-03-16T22:01:09+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-magnetic-island-ferry-gtfs-679.zip?alt=media
650,Translink Magnetic Island,AU,Queensland,"{'minimum_latitude': -19.180021, 'maximum_latitude': -19.117094, 'minimum_longitude': 146.837611, 'maximum_longitude': 146.868939, 'extracted_on': '2022-03-16T21:18:34+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-magnetic-island-gtfs-650.zip?alt=media
668,Translink South East Queensland (Translink SEQ),AU,Queensland,"{'minimum_latitude': -28.172196, 'maximum_latitude': -26.15939, 'minimum_longitude': 152.124238, 'maximum_longitude': 153.543374, 'extracted_on': '2022-03-16T22:00:35+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-south-east-queensland-translink-seq-gtfs-668.zip?alt=media
674,TransLink Sunbus Cairns,AU,Queensland,"{'minimum_latitude': -17.104064, 'maximum_latitude': -16.743567, 'minimum_longitude': 145.663264, 'maximum_longitude': 145.786494, 'extracted_on': '2022-03-16T22:00:53+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-translink-sunbus-cairns-gtfs-674.zip?alt=media
676,Whitsunday Transit,AU,Queensland,"{'minimum_latitude': -20.406011, 'maximum_latitude': -20.264272, 'minimum_longitude': 148.57356, 'maximum_longitude': 148.785562, 'extracted_on': '2022-03-16T22:00:59+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-whitsunday-transit-gtfs-676.zip?alt=media
651,Wide Bay Transit,AU,Queensland,"{'minimum_latitude': -25.560525, 'maximum_latitude': -25.183988, 'minimum_longitude': 152.558177, 'maximum_longitude': 152.908899, 'extracted_on': '2022-03-16T21:18:37+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-wide-bay-transit-gtfs-651.zip?alt=media
655,Youngs Bus Service,AU,Queensland,"{'minimum_latitude': -23.638604, 'maximum_latitude': -23.099773, 'minimum_longitude': 150.387628, 'maximum_longitude': 150.826186, 'extracted_on': '2022-03-16T21:18:51+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-queensland-youngs-bus-service-gtfs-655.zip?alt=media
660,Adelaide Metro,AU,South Australia,"{'minimum_latitude': -35.339223, 'maximum_latitude': -34.571043, 'minimum_longitude': 138.445316, 'maximum_longitude': 139.036087, 'extracted_on': '2022-03-16T21:38:51+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-south-australia-adelaide-metro-gtfs-660.zip?alt=media
1251,MerseyLink,AU,Tasmania,"{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2022-03-24T00:15:40+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-tasmania-merseylink-gtfs-1251.zip?alt=media
681,MetroTas Burnie,AU,Tasmania,"{'minimum_latitude': -41.55744214603599, 'maximum_latitude': -40.7606108112925, 'minimum_longitude': 145.12451253471826, 'maximum_longitude': 147.1571264979121, 'extracted_on': '2022-03-16T22:01:29+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-tasmania-metrotas-burnie-gtfs-681.zip?alt=media
665,MetroTas Hobart,AU,Tasmania,"{'minimum_latitude': -43.31239511583733, 'maximum_latitude': -41.04707909408461, 'minimum_longitude': 145.318106, 'maximum_longitude': 148.303394, 'extracted_on': '2022-03-16T22:00:13+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-tasmania-metrotas-hobart-gtfs-665.zip?alt=media
682,MetroTas Launceston,AU,Tasmania,"{'minimum_latitude': -42.88489072090745, 'maximum_latitude': -41.00315447, 'minimum_longitude': 146.8052311, 'maximum_longitude': 148.3035978, 'extracted_on': '2022-03-16T22:01:36+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-tasmania-metrotas-launceston-gtfs-682.zip?alt=media
1281,Mornington Railway,AU,Victoria,"{'minimum_latitude': -38.22984964539984, 'maximum_latitude': -38.21404566869699, 'minimum_longitude': 145.0502921640873, 'maximum_longitude': 145.10695785284042, 'extracted_on': '2022-03-24T00:18:29+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-victoria-mornington-railway-gtfs-1281.zip?alt=media
649,Port Phillip Ferries,AU,Victoria,"{'minimum_latitude': -38.14312171418421, 'maximum_latitude': -37.81696682290608, 'minimum_longitude': 144.36218577889218, 'maximum_longitude': 144.9450472321603, 'extracted_on': '2022-03-16T21:18:30+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-victoria-port-phillip-ferries-gtfs-649.zip?alt=media
657,Public Transport Victoria (PTV),AU,Victoria,"{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2022-04-21T18:51:23+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-victoria-public-transport-victoria-ptv-gtfs-657.zip?alt=media
1086,"TransCollie, TransCarnarvon, TransEsperance, TransKarratha, TransNarrogin, Transperth, TransHedland, TransBroome, TransGeraldton, TransAlbany, TransBunbury, TransBusselton, TransGoldfields, 2K Tours, TransManjimup, Transwa",AU,Western Australia,"{'minimum_latitude': -35.0682822222222, 'maximum_latitude': -20.3008238888889, 'minimum_longitude': 113.649835555556, 'maximum_longitude': 121.893761666667, 'extracted_on': '2022-03-17T23:01:09+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-western-australia-transcollie-gtfs-1086.zip?alt=media
1169,Transperth,AU,Western Australia,"{'minimum_latitude': -35.0682822222222, 'maximum_latitude': -20.3008238888889, 'minimum_longitude': 113.649835555556, 'maximum_longitude': 121.893761666667, 'extracted_on': '2022-03-23T18:41:49+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-western-australia-transperth-gtfs-1169.zip?alt=media
685,De Waterbus,BE,Antwerpen,"{'minimum_latitude': 51.1431779315168, 'maximum_latitude': 51.302229653616, 'minimum_longitude': 4.286191463470459, 'maximum_longitude': 4.5152118, 'extracted_on': '2022-03-16T22:03:23+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-antwerpen-de-waterbus-gtfs-685.zip?alt=media
1860,DeWaterbus,BE,Antwerpen,"{'minimum_latitude': 51.1431779315168, 'maximum_latitude': 51.302229653616, 'minimum_longitude': 4.286191463470459, 'maximum_longitude': 4.5152118, 'extracted_on': '2023-01-17T20:50:34+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-antwerpen-dewaterbus-gtfs-1860.zip?alt=media
1088,Société des Transports Intercommunaux de Bruxelles/Maatschappij voor het Intercommunaal Vervoer te Brussel (STIB/MIVB),BE,"Bruxelles-Capitale, Région de","{'minimum_latitude': 50.765858, 'maximum_latitude': 50.926445, 'minimum_longitude': 4.26531, 'maximum_longitude': 4.513476, 'extracted_on': '2023-01-17T20:25:11+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-bruxelles-capitale-societe-des-transports-intercommunaux-de-bruxellesmaatschappij-voor-het-intercommunaal-vervoer-te-brussel-stibmivb-gtfs-1088.zip?alt=media
1869,De Lijn,BE,"flamande, Région","{'minimum_latitude': 50.6451, 'maximum_latitude': 51.5605, 'minimum_longitude': 2.58059, 'maximum_longitude': 5.88695, 'extracted_on': '2023-01-18T20:49:13+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-flamande-de-lijn-gtfs-1869.zip?alt=media
1859,Société nationale des chemins de fer belges (NMBS-SNCB),BE,"Bruxelles-Capitale, Région de","{'minimum_latitude': 49.55128, 'maximum_latitude': 52.35, 'minimum_longitude': 2.601966, 'maximum_longitude': 6.133333, 'extracted_on': '2023-01-17T20:45:17+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-sncb-gtfs-1859.zip?alt=media
686,Société nationale des chemins de fer belges (NMBS-SNCB),BE,,"{'minimum_latitude': 48.86667, 'maximum_latitude': 52.35, 'minimum_longitude': 2.333333, 'maximum_longitude': 6.133333, 'extracted_on': '2022-03-16T22:03:50+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-societe-nationale-des-chemins-de-fer-belges-nmbs-sncb-gtfs-686.zip?alt=media
1212,Société Régionale Wallonne du Transport,BE,,"{'minimum_latitude': 49.506805, 'maximum_latitude': 50.883023, 'minimum_longitude': 2.87512, 'maximum_longitude': 6.384263, 'extracted_on': '2022-03-23T23:03:12+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-societe-regionale-wallonne-du-transport-gtfs-1212.zip?alt=media
1857,Société des Transports Intercommunaux de Bruxelles/Maatschappij voor het Intercommunaal Vervoer te Brussel (STIB/MIVB),BE,"Bruxelles-Capitale, Région de","{'minimum_latitude': 50.765858, 'maximum_latitude': 50.926445, 'minimum_longitude': 4.26531, 'maximum_longitude': 4.513476, 'extracted_on': '2023-01-17T21:31:48+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-stib-mivb-gtfs-1857.zip?alt=media
684,De Lijn,BE,Vlaams Gewest,"{'minimum_latitude': 50.6451, 'maximum_latitude': 51.5605, 'minimum_longitude': 2.58059, 'maximum_longitude': 5.88695, 'extracted_on': '2022-03-16T22:03:20+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-vlaams-gewest-de-lijn-gtfs-684.zip?alt=media
1868,TEC,BE,"wallonne, Région","{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2023-01-17T20:52:29+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-wallonne-tec-gtfs-1868.zip?alt=media
2119,Trolleybus Transport Pleven,BG,Pleven,"{'minimum_latitude': 43.39247, 'maximum_latitude': 43.439544, 'minimum_longitude': 24.56491, 'maximum_longitude': 24.709633, 'extracted_on': '2024-10-12T10:46:23+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/bg-pleven-trolleybus-transport-pleven-gtfs-2119.zip?alt=media
2011,Etufor,BR,Ceará,"{'minimum_latitude': -3.894503, 'maximum_latitude': -3.694365, 'minimum_longitude': -38.645151, 'maximum_longitude': -38.410797, 'extracted_on': '2024-02-27T16:13:44+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-ceara-etufor-gtfs-2011.zip?alt=media
2367,METROFOR,BR,Ceará,"{'minimum_latitude': None, 'maximum_latitude': None, 'minimum_longitude': None, 'maximum_longitude': None, 'extracted_on': '2024-02-24T16:25:40+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-ceara-metrofor-gtfs-2367.zip?alt=media
687,Empresa de Transportes e Transito de Belo Horizonte (BHTRANS),BR,Minas Gerais,"{'minimum_latitude': -20.02215077788596, 'maximum_latitude': -19.7837028260423, 'minimum_longitude': -44.05937769694836, 'maximum_longitude': -43.881705475531, 'extracted_on': '2022-03-16T22:03:59+00:00'}",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-minas-gerais-empresa-de-transportes-e-transito-de-belo-horizonte-bhtrans-gtfs-687.zip?alt=media
